code,bu,stcode,DATE,food_credit,nonfood_consign,perishable_nonmer,totalsoh
PWB00211,PWB,00211,20250123,2567.0,1043.0,0.0,3610.0
PWB00212,PWB,00212,20250123,1903.0,716.0,0.0,2619.0
PWB00213,PWB,00213,20250123,106.0,14.0,0.0,120.0
PWB00214,PWB,00214,20250123,1784.0,724.0,0.0,2508.0
PWB00216,PWB,00216,20250123,2141.0,712.0,0.0,2853.0
PWB00217,PWB,00217,20250123,1887.0,645.0,0.0,2532.0
PWB00218,PWB,00218,20250123,2116.0,651.0,0.0,2767.0
PWB00222,PWB,00222,20250123,2019.0,674.0,0.0,2693.0
PWB00224,PWB,00224,20250123,1754.0,881.0,0.0,2635.0
PWB00225,PWB,00225,20250123,1721.0,673.0,0.0,2394.0
PWB00227,PWB,00227,20250123,7.0,3.0,0.0,10.0
PWB00229,PWB,00229,20250123,2995.0,1586.0,0.0,4581.0
PWB00230,PWB,00230,20250123,2032.0,1145.0,0.0,3177.0
PWB00231,PWB,00231,20250123,3405.0,1569.0,0.0,4974.0
PWB00232,PWB,00232,20250123,2309.0,990.0,0.0,3299.0
PWB00233,PWB,00233,20250123,2129.0,1020.0,0.0,3149.0
PWB00234,PWB,00234,20250123,2066.0,592.0,0.0,2658.0
PWB00236,PWB,00236,20250123,2348.0,1049.0,0.0,3397.0
PWB00239,PWB,00239,20250123,2080.0,850.0,0.0,2930.0
PWB00240,PWB,00240,20250123,2286.0,791.0,0.0,3077.0
PWB00241,PWB,00241,20250123,2286.0,1035.0,0.0,3321.0
PWB00243,PWB,00243,20250123,2118.0,860.0,0.0,2978.0
PWB00245,PWB,00245,20250123,3532.0,1137.0,0.0,4669.0
PWB00246,PWB,00246,20250123,2487.0,1023.0,0.0,3510.0
PWB00250,PWB,00250,20250123,4010.0,1276.0,0.0,5286.0
PWB00251,PWB,00251,20250123,2440.0,1267.0,0.0,3707.0
PWB00255,PWB,00255,20250123,4222.0,1529.0,0.0,5751.0
PWB00256,PWB,00256,20250123,2812.0,1083.0,0.0,3895.0
PWB00257,PWB,00257,20250123,2779.0,1142.0,0.0,3921.0
PWB00258,PWB,00258,20250123,1.0,0.0,0.0,1.0
PWB00401,PWB,00401,20250123,250.0,15.0,0.0,265.0
PWB00571,PWB,00571,20250123,1059.0,2.0,0.0,1061.0
PWB00572,PWB,00572,20250123,845.0,11.0,0.0,856.0
PWB00573,PWB,00573,20250123,837.0,2.0,0.0,839.0
PWB00575,PWB,00575,20250123,1075.0,2.0,0.0,1077.0
PWB00576,PWB,00576,20250123,789.0,0.0,0.0,789.0
PWB00577,PWB,00577,20250123,836.0,0.0,0.0,836.0
PWB00578,PWB,00578,20250123,565.0,0.0,0.0,565.0
PWB00581,PWB,00581,20250123,6260.0,417.0,0.0,6677.0
PWB00582,PWB,00582,20250123,29.0,0.0,0.0,29.0
PWB00583,PWB,00583,20250123,3390.0,1249.0,0.0,4639.0
PWB00612,PWB,00612,20250123,6.0,0.0,0.0,6.0
PWB00614,PWB,00614,20250123,1.0,0.0,0.0,1.0
PWB00623,PWB,00623,20250123,1308.0,40.0,0.0,1348.0
PWB00625,PWB,00625,20250123,4.0,1.0,0.0,5.0
PWB00626,PWB,00626,20250123,2307.0,657.0,0.0,2964.0
PWB00709,PWB,00709,20250123,0.0,62.0,0.0,62.0
