store,cntdate,countname,dpt,sdpt,cls,scls,sku,ibc,sbc,sku_des,brandid,brnnam,vendor,vend_nam,catalogue,coldsc,sizdsc,retail,cost,soh,qty_count,qty_var,extrtl_var,extcst_var,skutype,rpname,phycnt_cst,phycnt_rtl,percen_var,gm,vnd_vat_rate
FC071,20240916,,510,101,,,413216,,0752574756899,เครื่องคิดเลข 12 หลัก นีโอ JN-700 สีฟ้า,,,,,,,,189,71.36,5,5,0,0,0,Credit,STK2,356.8,945,,,
FC071,20240916,,510,101,,,413217,,0752574756905,เครื่องคิดเลข 12 หลัก นีโอ JN-700 สีขาว,,,,,,,,189,71.36,3,3,0,0,0,Credit,STK2,214.07999999999998,567,,,
FC071,20240916,,510,101,,,413215,,0752574756882,เครื่องคิดเลข 12 หลัก นีโอ JN-700 สีชมพู,,,,,,,,189,71.36,3,3,0,0,0,Credit,STK2,214.07999999999998,567,,,
FC071,20240916,,510,101,,,413221,,0752574756912,เครื่องคิดเลข 12 หลัก นีโอ JN-700 สีดำ,,,,,,,,189,71.36,2,2,0,0,0,Credit,STK2,142.72,378,,,
FC071,20240916,,510,101,,,413214,,0752574756868,เครื่องคิดเลข 12 หลัก ขนาดพกพา นีโอ JN-600 สีน้ำเงิน,,,,,,,,159,60.94,3,3,0,0,0,Credit,STK2,182.82,477,,,
FC071,20240916,,510,101,,,413228,,0752574756875,เครื่องคิดเลข 12 หลัก ขนาดพกพา นีโอ JN-600 สีขาว,,,,,,,,159,60.94,4,4,0,0,0,Credit,STK2,243.76,636,,,
FC071,20240916,,510,101,,,413213,,0752574756851,เครื่องคิดเลข 12 หลัก ขนาดพกพา นีโอ JN-600 สีชมพู,,,,,,,,159,60.94,5,5,0,0,0,Credit,STK2,304.7,795,,,
FC071,20240916,,510,113,,,382403,,8859286305147,เครื่องตอกบัตร นีโอแคล T-8B,,,,,,,,5900,4547.64,1,1,0,0,0,Credit,STK2,4547.64,5900,,,
FC071,20240916,,510,113,,,382401,,8859286305154,เครื่องตอกบัตร นีโอแคล D-8B,,,,,,,,5900,4547.64,1,1,0,0,0,Credit,STK2,4547.64,5900,,,
FC071,20240916,,510,113,,,382424,,8850265256375,เครื่องตอกบัตร ขาว-ส้ม นีโอแคล D-9C,,,,,,,,4290,3306.68,2,2,0,0,0,Credit,STK2,6613.36,8580,,,
FC071,20240916,,510,114,,,382491,,8850263113854,เครื่องทำลายเอกสาร นีโอแคล C1217,,,,,,,,3550,2736.3,1,1,0,0,0,Credit,STK2,2736.3,3550,,,
FC071,20240916,,510,118,,,389860,,8859286755294,เครื่องอ่านบาร์โค๊ดแบบ 1D นีโอแคล NCS-2000AT สีดำ,,,,,,,,2590,2121.11,2,2,0,0,0,Credit,STK2,4242.22,5180,,,
FC071,20240916,,510,115,,,382594,,8852037238787,เครื่องเคลือบบัตร ดำ นีโอแคล LM-201,,,,,,,,850,655.16,1,1,0,0,0,Credit,STK2,655.16,850,,,
FC071,20240916,,510,104,,,280260,,8858777400460,เครื่องนับธนบัตร ยูนิ-สมาร์ท US-2400,,,,,,,,6990,5724.54,1,1,0,0,0,Credit,STK2,5724.54,6990,,,
FC071,20240916,,510,102,,,330748,,8851296003907,โทรศัพท์ สีเทาอ่อน รีช CP-B036,,,,,,,,790,605.15,1,1,0,0,0,Credit,STK2,605.15,790,,,
FC071,20240916,,510,102,,,330957,,8851296002269,โทรศัพท์ สีดำ รีช CP-B036,,,,,,,,790,605.15,1,1,0,0,0,Credit,STK2,605.15,790,,,
FC071,20240916,,510,102,,,150316,,8851296002900,โทรศัพท์ สีเทา-ขาว V.2 รีช CID 626,,,,,,,,639,492.78,2,2,0,0,0,Credit,STK2,985.56,1278,,,
FC071,20240916,,510,102,,,149550,,8851296001699,โทรศัพท์ เทา รีช HT-2102,,,,,,,,379,298.97,2,2,0,0,0,Credit,STK2,597.94,758,,,
FC071,20240916,,510,102,,,149588,,8851296001200,โทรศัพท์ สีเทา รีช HT-9902,,,,,,,,379,298.97,1,1,0,0,0,Credit,STK2,298.97,379,,,
FC071,20240916,,510,115,,,382603,,8850892052234,เครื่องเคลือบบัตร (A3) ลามิเรล LMR-320,,,,,,,,5290,4020.62,1,1,0,0,0,Credit,STK2,4020.62,5290,,,
FC071,20240916,,510,115,,,382577,,8850892053309,เครื่องเคลือบบัตร (A4) ลามิเรล LMR-220,,,,,,,,4350,3350.52,1,1,0,0,0,Credit,STK2,3350.52,4350,,,
FC071,20240916,,510,107,,,151405,,8850263734233,บัตรตอก (100แผ่น) ลีเวอร์ MAสำหรับเครื่อง NIDEKA+NEOCAL,,,,,,,,115,83.1,6,8,2,230,166.2,Credit,STK2,664.8,920,,,
FC071,20240916,,510,114,,,382460,,8850892058502,เครื่องทำลายเอกสาร วิกเกอร์ฮูด VS-713CD,,,,,,,,2659,2041.24,1,1,0,0,0,Credit,STK2,2041.24,2659,,,
FC071,20240916,,510,116,,,447597,,8850892040668,แผ่นใส ถ่ายเอกสาร 100 ไมครอน A4 (แพ็ค100แผ่น) วิคเตอร์,,,,,,,,490,359.87,2,2,0,0,0,Credit,STK2,719.74,980,,,
FC071,20240916,,510,113,,,382897,,8850892063223,ผ้าหมึกเครื่องตอกบัตร เวอร์เทค VT-810,,,,,,,,469,360.82,3,3,0,0,0,Credit,STK2,1082.46,1407,,,
FC071,20240916,,510,107,,,151337,,8850892040798,บัตรตอก (แพ็ค100แผ่น) เวอร์เทค,,,,,,,,125,89.69,7,7,0,0,0,Credit,STK2,627.8299999999999,875,,,
FC071,20240916,,510,114,,,382480,,8850438017642,เครื่องทำลายเอกสาร ดำ ออฟฟิซ โปร PS10SC,,,,,,,,890,685.57,1,1,0,0,0,Credit,STK2,685.57,890,,,
FC071,20240916,,510,111,,,446551,,8850438017956,ของแถม-แผงเสียบบัตร ออฟฟิซ โปร,,,,,,,,459,0,1,0,-1,-459,0,Credit,STK2,0,0,,,
FC071,20240916,,510,107,,,322682,,8850438016515,บัตรตอก ขาว ออฟฟิซ โปร,,,,,,,,105,79.38,6,7,1,105,79.38,Credit,STK2,555.66,735,,,
FC071,20240916,,510,113,,,382420,,8850438017055,เครื่องตอกบัตร เบจ โอลิมเปีย ET3300,,,,,,,,5990,4617.53,1,1,0,0,0,Credit,STK2,4617.53,5990,,,
FC071,20240916,,510,101,,,322033,,8850438016287,เครื่องคิดเลข  โอลิมเปีย GX120ST,,,,,,,,419,322.68,1,1,0,0,0,Credit,STK2,322.68,419,,,
FC071,20240916,,510,101,,,356598,,8850438017611,เครื่องคิดเลข ดำ โอลิมเปีย DX140DM,,,,,,,,329,253.09,2,0,-2,-658,-506.18,Credit,STK2,0,0,,,
FC071,20240916,,520,209,,,405355,,8851666201971,โต๊ะพับอเนกประสงค์ ONE T-60180,,,,,,,,2350,1447.37,0,0,0,0,0,Credit,STK2,0,0,,,
FC071,20240916,,520,209,,,405354,,8851666201988,โต๊ะพับอเนกประสงค์ ONE T-60150,,,,,,,,2140,1047.37,1,1,0,0,0,Credit,STK2,1047.37,2140,,,
FC071,20240916,,520,209,,,405353,,8851666201995,โต๊ะพับอเนกประสงค์ ONE T-60120,,,,,,,,1720,842.11,2,2,0,0,0,Credit,STK2,1684.22,3440,,,
FC071,20240916,,520,209,,,405356,,8851666202008,โต๊ะพับอเนกประสงค์ ONE T-45120/T-1848,,,,,,,,1590,778.95,3,3,0,0,0,Credit,STK2,2336.8500000000004,4770,,,
FC071,20240916,,520,203,,,434738,,0000073166535,เก้าอี้สำนักงาน ONE Fraya สีเทา,,,,,,,,1590,654.36,2,2,0,0,0,Credit,STK2,1308.72,3180,,,
FC071,20240916,,520,205,,,405474,,8851666101813,ตู้นิรภัย Electronic กราไฟท์ Sure ES-823,,,,,,,,3990,2221.65,1,1,0,0,0,Credit,STK2,2221.65,3990,,,
FC071,20240916,,520,217,,,457394,,0000073392323,ตัวโชว์-เก้าอี้ผู้บริหาร เฟอร์ราเดค Ravana สีดำ,,,,,,,,9790,2480.65,1,1,0,0,0,Credit,STK2,2480.65,9790,,,
FC071,20240916,,520,203,,,405405,,0000072386125,เก้าอี้เพื่อสุขภาพ Ergonomic ดำ เฟอร์ราเดค Haru,,,,,,,,9350,3325.06,1,1,0,0,0,Credit,STK2,3325.06,9350,,,
FC071,20240916,,520,217,,,457400,,0000073392385,ตัวโชว์-เก้าอี้ผู้บริหาร เฟอร์ราเดค Harrington II สีดำ,,,,,,,,8990,2539.06,1,1,0,0,0,Credit,STK2,2539.06,8990,,,
FC071,20240916,,520,217,,,457530,,0000073393689,ตัวโชว์-เก้าอี้เพื่อสุขภาพ เฟอร์ราเดค Buddy  สีดำ,,,,,,,,7990,3181.82,1,1,0,0,0,Credit,STK2,3181.82,7990,,,
FC071,20240916,,520,217,,,457520,,0000073393580,ตัวโชว์-เก้าอี้ผู้บริหาร เฟอร์ราเดค โคลเวอร์ สีดำ,,,,,,,,7990,2296.41,1,1,0,0,0,Credit,STK2,2296.41,7990,,,
FC071,20240916,,520,217,,,457412,,0000073392507,ตัวโชว์-เก้าอี้ผู้บริหาร เฟอร์ราเดค Grier สีดำ,,,,,,,,7890,2366.95,1,1,0,0,0,Credit,STK2,2366.95,7890,,,
FC071,20240916,,520,201,,,405072,,0000072235379,โต๊ะทำงานพร้อมตู้ข้าง สีลายไม้ เฟอร์ราเดค CT-1727,,,,,,,,6990,2123.36,1,1,0,0,0,Credit,STK2,2123.36,6990,,,
